Date Time,Price,Open,High,Low,Vol.,Change
2022-12-31 17:00:00,16582.08,16600.93,16604.37,16571.01,4844.04845,0.0
2022-12-31 18:00:00,16577.79,16581.45,16589.36,16571.8,3340.8033,-0.02587130203207666
2022-12-31 19:00:00,16570.14,16577.78,16590.06,16565.1,4044.43359,-0.04614607857863495
2022-12-31 20:00:00,16568.6,16570.14,16574.97,16564.09,2622.14355,-0.009293826123379922
2022-12-31 21:00:00,16548.28,16568.19,16571.64,16544.12,3618.77389,-0.12264162331155903
2022-12-31 22:00:00,16520.81,16548.28,16567.49,16470.0,6695.13625,-0.1659991249845727
2022-12-31 23:00:00,16542.4,16520.28,16551.24,16487.74,4973.43307,0.13068366502611006
2023-01-01 00:00:00,16529.67,16541.77,16545.7,16508.39,4364.8357,-0.07695376728892311
2023-01-01 01:00:00,16551.47,16529.59,16556.8,16525.78,3590.06669,0.1318840606013394
2023-01-01 02:00:00,16548.19,16551.47,16559.77,16538.14,3318.84038,-0.01981697093975665
2023-01-01 03:00:00,16533.04,16548.19,16548.19,16518.21,4242.0805,-0.09155079800267085
2023-01-01 04:00:00,16521.85,16533.04,16535.97,16511.92,4285.00909,-0.0676826524341756
2023-01-01 05:00:00,16530.71,16522.22,16534.98,16512.3,3717.37178,0.05362595593108033
2023-01-01 06:00:00,16539.79,16530.71,16550.0,16528.81,3344.90206,0.054928070240189975
2023-01-01 07:00:00,16526.19,16539.79,16544.57,16499.01,5184.95822,-0.08222595329204774
2023-01-01 08:00:00,16513.34,16525.7,16534.03,16508.45,4271.92023,-0.07775536890232138
2023-01-01 09:00:00,16537.88,16513.33,16542.49,16505.2,4100.75049,0.14860712611743931
2023-01-01 10:00:00,16548.34,16538.32,16548.71,16533.42,3803.76616,0.06324873562995048
2023-01-01 11:00:00,16556.66,16547.98,16557.0,16540.2,3739.53013,0.05027694620729495
2023-01-01 12:00:00,16560.93,16556.66,16572.94,16548.58,4150.48564,0.02579022580642132
2023-01-01 13:00:00,16548.04,16561.29,16567.26,16539.05,4379.68203,-0.07783379315050576
2023-01-01 14:00:00,16542.94,16547.61,16558.56,16540.85,3294.99093,-0.030819359875866592
2023-01-01 15:00:00,16558.73,16542.94,16559.99,16533.68,3220.93236,0.09544857201924106
2023-01-01 16:00:00,16565.14,16558.73,16584.66,16558.0,4962.13235,0.03871069822383166
2023-01-01 17:00:00,16578.85,16565.13,16596.64,16562.51,4714.40354,0.0827641661947931
2023-01-01 18:00:00,16591.88,16579.25,16603.89,16578.85,4146.37245,0.07859411237813863
2023-01-01 19:00:00,16603.08,16591.35,16623.65,16591.34,4709.74023,0.06750289900843143
2023-01-01 20:00:00,16604.51,16603.53,16628.0,16600.55,4189.05318,0.008612859782619608
2023-01-01 21:00:00,16606.68,16604.51,16608.83,16592.63,3656.77804,0.013068738553578818
2023-01-01 22:00:00,16602.12,16607.02,16613.85,16586.24,3690.19661,-0.027458829820292685
2023-01-01 23:00:00,16616.75,16602.39,16625.0,16600.8,3846.61495,0.08812127607800146
2023-01-02 00:00:00,16588.35,16617.17,16629.05,16581.25,4327.06948,-0.17091188108385724
2023-01-02 01:00:00,16565.04,16587.97,16589.2,16548.7,5791.85443,-0.14052030491277234
2023-01-02 02:00:00,16587.85,16565.03,16595.92,16555.0,3150.41571,0.1376996373084305
2023-01-02 03:00:00,16661.94,16587.99,16707.25,16581.8,6194.13548,0.4466522183405264
2023-01-02 04:00:00,16639.44,16662.38,16674.84,16629.29,4983.39445,-0.13503829686098978
2023-01-02 05:00:00,16647.58,16639.74,16662.94,16619.44,4976.78402,0.04891991557409714
2023-01-02 06:00:00,16641.1,16648.37,16663.27,16635.93,3210.61774,-0.03892457642493685
2023-01-02 07:00:00,16721.28,16641.1,16769.51,16637.44,12856.08557,0.4818191105155245
2023-01-02 08:00:00,16733.71,16721.27,16772.01,16707.52,7080.81126,0.07433641443717054
2023-01-02 09:00:00,16717.5,16733.71,16745.68,16710.54,5599.20896,-0.09687032941290141
2023-01-02 10:00:00,16727.95,16717.5,16762.86,16708.68,5892.57705,0.06250934649318918
2023-01-02 11:00:00,16735.11,16727.72,16741.72,16704.07,4695.34392,0.04280261478544212
2023-01-02 12:00:00,16721.54,16735.51,16746.29,16719.3,4262.00363,-0.08108700809256186
2023-01-02 13:00:00,16694.78,16721.96,16725.6,16685.0,5598.29706,-0.16003310699852502
2023-01-02 14:00:00,16698.69,16695.12,16710.41,16669.15,5460.35075,0.023420494310189
2023-01-02 15:00:00,16734.66,16698.69,16750.0,16692.01,6426.56347,0.21540611868355874
2023-01-02 16:00:00,16710.88,16734.66,16739.64,16708.23,3861.0201,-0.14210028766642457
2023-01-02 17:00:00,16715.42,16710.69,16723.0,16707.12,3035.91493,0.02716792891814812
2023-01-02 18:00:00,16723.81,16715.42,16731.71,16707.47,2810.694,0.05019317492471753
2023-01-02 19:00:00,16737.56,16723.64,16738.22,16715.88,2607.1075,0.08221810699835519
2023-01-02 20:00:00,16728.52,16737.56,16738.23,16709.29,2881.53898,-0.054010261949777316
2023-01-02 21:00:00,16757.76,16728.52,16799.23,16718.41,3771.07914,0.1747913144737101
2023-01-02 22:00:00,16698.4,16757.76,16763.78,16690.18,5609.151,-0.35422395355940717
2023-01-02 23:00:00,16672.87,16698.4,16722.98,16660.51,6806.55328,-0.15288889953529727
2023-01-03 00:00:00,16695.59,16672.78,16706.14,16647.81,5684.61483,0.1362692805737753
2023-01-03 01:00:00,16677.6,16695.59,16696.04,16651.42,5606.2077,-0.1077530054343745
2023-01-03 02:00:00,16674.03,16677.6,16688.53,16671.6,4217.23484,-0.021405957691755795
2023-01-03 03:00:00,16691.81,16674.04,16700.28,16666.91,4675.39859,0.10663288958938644
2023-01-03 04:00:00,16685.64,16691.81,16699.63,16681.79,3591.36818,-0.03696423575395569
